id,dealDate,dealYear,dealMonth,dealDay,sggCd,regionName,umdNm,jibun,aptNm,floor,excluUseAr,areaType,dealAmount,buildYear,dealType,updated_at,cdealType,cdealDay,cancelled,duplicate_count,group_cancelled,_resolved_type
8585,2026-06-24,2026,6,24,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,7.0,84.97,84타입,105000,2023,미상,2026-09-06 02:13:50,,,False,2,False,중개거래
8586,2026-06-27,2026,6,27,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,2.0,84.97,84타입,90000,2023,미상,2026-09-06 02:13:50,,,False,2,False,중개거래
8587,2026-06-26,2026,6,26,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,5.0,84.97,84타입,104700,2023,미상,2026-09-06 02:13:50,,,False,2,False,중개거래
8588,2026-06-22,2026,6,22,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,11.0,84.97,84타입,105000,2023,미상,2026-09-06 02:13:50,,,False,2,False,중개거래
8589,2026-06-20,2026,6,20,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,13.0,84.99,84타입,90000,2024,미상,2026-09-06 02:13:50,,,False,2,False,중개거래
8592,2026-06-20,2026,6,20,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,2.0,84.97,84타입,92000,2023,미상,2026-09-06 02:13:50,,,False,2,False,중개거래
8593,2026-06-19,2026,6,19,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,18.0,84.97,84타입,99000,2023,미상,2026-09-06 02:13:50,,,False,2,False,중개거래
8595,2026-06-18,2026,6,18,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,9.0,84.97,84타입,99000,2023,미상,2026-09-06 02:13:50,,,False,2,False,중개거래
8596,2026-06-15,2026,6,15,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,15.0,84.97,84타입,99000,2023,미상,2026-09-06 02:13:50,,,False,2,False,중개거래
8598,2026-06-14,2026,6,14,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,12.0,84.97,84타입,101500,2023,미상,2026-09-06 02:13:50,,,False,2,False,중개거래
8599,2026-06-12,2026,6,12,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,6.0,84.97,84타입,93000,2023,미상,2026-09-06 02:13:50,,,False,2,False,중개거래
8600,2026-06-13,2026,6,13,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,5.0,84.97,84타입,96900,2023,미상,2026-09-06 02:13:50,,,False,2,False,중개거래
8601,2026-06-11,2026,6,11,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,17.0,84.97,84타입,100000,2023,미상,2026-09-06 02:13:50,,,False,2,False,중개거래
8604,2026-06-06,2026,6,6,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,12.0,84.97,84타입,99000,2023,미상,2026-09-06 02:13:50,,,False,2,False,중개거래
8605,2026-06-06,2026,6,6,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,17.0,84.99,84타입,89000,2024,미상,2026-09-06 02:13:50,,,False,2,False,중개거래
8606,2026-06-05,2026,6,5,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,17.0,84.99,84타입,89900,2024,미상,2026-09-06 02:13:50,,,False,2,False,중개거래
8607,2026-06-04,2026,6,4,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,10.0,84.97,84타입,103000,2023,미상,2026-09-06 02:13:50,,,False,2,False,중개거래
8608,2026-06-03,2026,6,3,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,10.0,84.99,84타입,87000,2024,미상,2026-09-06 02:13:50,,,False,2,False,중개거래
8610,2026-06-03,2026,6,3,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,11.0,84.97,84타입,104700,2023,미상,2026-09-06 02:13:50,,,False,2,False,중개거래
