id,dealDate,dealYear,dealMonth,dealDay,sggCd,regionName,umdNm,jibun,aptNm,floor,excluUseAr,areaType,dealAmount,buildYear,dealType,updated_at,cdealType,cdealDay,cancelled,duplicate_count,group_cancelled,is_sk,price,month,floor_tier,cell,days
15554,2025-06-20,2025,06,20,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,3.0,84.97,84타입,87800,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,8.78,2025-06,1–5층,2025-06 / 1–5층,502
15550,2025-06-21,2025,06,21,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,4.0,84.97,84타입,87800,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,8.78,2025-06,1–5층,2025-06 / 1–5층,503
15549,2025-06-22,2025,06,22,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,11.0,84.99,84타입,86500,2024,중개거래,2026-09-06 10:26:01,,,False,1,False,0,8.65,2025-06,6–15층,2025-06 / 6–15층,504
15541,2025-06-24,2025,06,24,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,4.0,84.97,84타입,88800,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,8.88,2025-06,1–5층,2025-06 / 1–5층,506
15538,2025-06-25,2025,06,25,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,11.0,84.97,84타입,95000,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.5,2025-06,6–15층,2025-06 / 6–15층,507
15525,2025-06-28,2025,06,28,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,10.0,84.97,84타입,93500,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.35,2025-06,6–15층,2025-06 / 6–15층,510
15514,2025-07-04,2025,07,04,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,8.0,84.97,84타입,92800,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.28,2025-07,6–15층,2025-07 / 6–15층,516
15503,2025-07-10,2025,07,10,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,15.0,84.97,84타입,93500,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.35,2025-07,6–15층,2025-07 / 6–15층,522
15500,2025-07-12,2025,07,12,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,13.0,84.97,84타입,92200,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.22,2025-07,6–15층,2025-07 / 6–15층,524
15491,2025-07-15,2025,07,15,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,8.0,84.97,84타입,93000,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.3,2025-07,6–15층,2025-07 / 6–15층,527
15473,2025-07-31,2025,07,31,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,15.0,84.99,84타입,77700,2024,직거래,2026-09-06 10:26:01,,,False,1,False,0,7.77,2025-07,6–15층,2025-07 / 6–15층,543
15464,2025-08-09,2025,08,09,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,4.0,84.99,84타입,85000,2024,중개거래,2026-09-06 10:26:01,,,False,1,False,0,8.5,2025-08,1–5층,2025-08 / 1–5층,552
15451,2025-08-20,2025,08,20,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,4.0,84.97,84타입,90000,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.0,2025-08,1–5층,2025-08 / 1–5층,563
15450,2025-08-20,2025,08,20,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,3.0,84.99,84타입,84500,2024,중개거래,2026-09-06 10:26:01,,,False,1,False,0,8.45,2025-08,1–5층,2025-08 / 1–5층,563
15447,2025-08-22,2025,08,22,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,12.0,84.97,84타입,94500,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.45,2025-08,6–15층,2025-08 / 6–15층,565
15437,2025-08-27,2025,08,27,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,6.0,84.97,84타입,92500,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.25,2025-08,6–15층,2025-08 / 6–15층,570
15403,2025-09-19,2025,09,19,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,16.0,84.99,84타입,88300,2024,중개거래,2026-09-06 10:26:01,,,False,1,False,0,8.83,2025-09,16층 이상,2025-09 / 16층 이상,593
15396,2025-09-22,2025,09,22,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,14.0,84.97,84타입,96000,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.6,2025-09,6–15층,2025-09 / 6–15층,596
15362,2025-10-03,2025,10,03,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,14.0,84.99,84타입,85000,2024,중개거래,2026-09-06 10:26:01,,,False,1,False,0,8.5,2025-10,6–15층,2025-10 / 6–15층,607
15352,2025-10-11,2025,10,11,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,4.0,84.97,84타입,96000,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.6,2025-10,1–5층,2025-10 / 1–5층,615
15353,2025-10-11,2025,10,11,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,13.0,84.97,84타입,94500,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.45,2025-10,6–15층,2025-10 / 6–15층,615
15341,2025-10-14,2025,10,14,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,5.0,84.97,84타입,92500,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.25,2025-10,1–5층,2025-10 / 1–5층,618
15342,2025-10-14,2025,10,14,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,17.0,84.97,84타입,95000,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.5,2025-10,16층 이상,2025-10 / 16층 이상,618
15331,2025-10-15,2025,10,15,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,10.0,84.97,84타입,93500,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.35,2025-10,6–15층,2025-10 / 6–15층,619
15333,2025-10-15,2025,10,15,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,16.0,84.97,84타입,95000,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.5,2025-10,16층 이상,2025-10 / 16층 이상,619
15323,2025-10-16,2025,10,16,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,7.0,84.97,84타입,95700,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.57,2025-10,6–15층,2025-10 / 6–15층,620
15317,2025-10-18,2025,10,18,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,4.0,84.97,84타입,92300,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.23,2025-10,1–5층,2025-10 / 1–5층,622
15310,2025-10-31,2025,10,31,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,7.0,84.97,84타입,99900,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.99,2025-10,6–15층,2025-10 / 6–15층,635
15305,2025-11-08,2025,11,08,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,13.0,84.97,84타입,92000,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.2,2025-11,6–15층,2025-11 / 6–15층,643
15302,2025-11-12,2025,11,12,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,14.0,84.97,84타입,94500,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.45,2025-11,6–15층,2025-11 / 6–15층,647
15294,2025-11-22,2025,11,22,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,7.0,84.99,84타입,87500,2024,중개거래,2026-09-06 10:26:01,,,False,1,False,0,8.75,2025-11,6–15층,2025-11 / 6–15층,657
15292,2025-11-24,2025,11,24,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,5.0,84.99,84타입,87500,2024,중개거래,2026-09-06 10:26:01,,,False,1,False,0,8.75,2025-11,1–5층,2025-11 / 1–5층,659
15290,2025-11-26,2025,11,26,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,12.0,84.97,84타입,93400,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.34,2025-11,6–15층,2025-11 / 6–15층,661
15287,2025-11-27,2025,11,27,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,11.0,84.99,84타입,84000,2024,중개거래,2026-09-06 10:26:01,,,False,1,False,0,8.4,2025-11,6–15층,2025-11 / 6–15층,662
15286,2025-11-28,2025,11,28,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,1.0,84.97,84타입,87000,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,8.7,2025-11,1–5층,2025-11 / 1–5층,663
15284,2025-11-28,2025,11,28,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,2.0,84.97,84타입,89000,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,8.9,2025-11,1–5층,2025-11 / 1–5층,663
15282,2025-11-29,2025,11,29,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,14.0,84.97,84타입,95250,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.525,2025-11,6–15층,2025-11 / 6–15층,664
15271,2025-12-05,2025,12,05,41115,수원시 팔달구,인계동,1173,수원센트럴아이파크자이,16.0,84.99,84타입,87000,2024,중개거래,2026-09-06 10:26:01,,,False,1,False,0,8.7,2025-12,16층 이상,2025-12 / 16층 이상,670
15262,2025-12-10,2025,12,10,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,13.0,84.97,84타입,93000,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.3,2025-12,6–15층,2025-12 / 6–15층,675
15256,2025-12-13,2025,12,13,41115,수원시 팔달구,매교동,300,매교역푸르지오SKVIEW,17.0,84.97,84타입,96500,2023,중개거래,2026-09-06 10:26:01,,,False,1,False,1,9.65,2025-12,16층 이상,2025-12 / 16층 이상,678
