aptNm,sggCd,regionName,umdNm,jibun,dealYear,dealMonth,dealDay,dealDate,dealAmount,excluUseAr,areaType,floor,buildYear,dealType,cdealDay,cdealType,source_file,source_row,source_no,source_sha256,building,registrationDate,id,updated_at,cancelled,duplicate_count,is_sk,price,month,floor_tier,cell,days
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2025,10,31,2025-10-31,99900,84.97,84타입,7.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,290,290,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,152,25.12.08,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:290,,False,1,1,9.99,2025-10,6–15층,2025-10 / 6–15층,635
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2025,11,08,2025-11-08,92000,84.97,84타입,13.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,275,275,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,105,26.01.13,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:275,,False,1,1,9.2,2025-11,6–15층,2025-11 / 6–15층,643
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2025,11,12,2025-11-12,94500,84.97,84타입,14.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,261,261,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,124,25.12.19,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:261,,False,1,1,9.45,2025-11,6–15층,2025-11 / 6–15층,647
수원센트럴아이파크자이,41115,수원시 팔달구,인계동,1173,2025,11,22,2025-11-22,87500,84.99,84타입,7.0,2024,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,212,212,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,104,26.01.27,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:212,,False,1,0,8.75,2025-11,6–15층,2025-11 / 6–15층,657
수원센트럴아이파크자이,41115,수원시 팔달구,인계동,1173,2025,11,24,2025-11-24,87500,84.99,84타입,5.0,2024,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,208,208,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,103,26.01.07,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:208,,False,1,0,8.75,2025-11,1–5층,2025-11 / 1–5층,659
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2025,11,26,2025-11-26,93400,84.97,84타입,12.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,198,198,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,111,26.01.07,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:198,,False,1,1,9.34,2025-11,6–15층,2025-11 / 6–15층,661
수원센트럴아이파크자이,41115,수원시 팔달구,인계동,1173,2025,11,27,2025-11-27,84000,84.99,84타입,11.0,2024,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,190,190,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,106,26.02.27,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:190,,False,1,0,8.4,2025-11,6–15층,2025-11 / 6–15층,662
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2025,11,28,2025-11-28,87000,84.97,84타입,1.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,188,188,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,139,26.02.25,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:188,,False,1,1,8.7,2025-11,1–5층,2025-11 / 1–5층,663
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2025,11,28,2025-11-28,89000,84.97,84타입,2.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,177,177,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,103,26.02.27,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:177,,False,1,1,8.9,2025-11,1–5층,2025-11 / 1–5층,663
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2025,11,29,2025-11-29,95250,84.97,84타입,14.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,174,174,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,128,26.02.20,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:174,,False,1,1,9.525,2025-11,6–15층,2025-11 / 6–15층,664
수원센트럴아이파크자이,41115,수원시 팔달구,인계동,1173,2025,12,05,2025-12-05,87000,84.99,84타입,16.0,2024,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,144,144,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,101,26.03.27,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:144,,False,1,0,8.7,2025-12,16층 이상,2025-12 / 16층 이상,670
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2025,12,10,2025-12-10,93000,84.97,84타입,13.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,120,120,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,127,26.03.25,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:120,,False,1,1,9.3,2025-12,6–15층,2025-12 / 6–15층,675
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2025,12,13,2025-12-13,96500,84.97,84타입,17.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,98,98,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,102,26.02.26,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:98,,False,1,1,9.65,2025-12,16층 이상,2025-12 / 16층 이상,678
수원센트럴아이파크자이,41115,수원시 팔달구,인계동,1173,2025,12,13,2025-12-13,93000,84.99,84타입,18.0,2024,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,103,103,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,104,26.02.27,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:103,,False,1,0,9.3,2025-12,16층 이상,2025-12 / 16층 이상,678
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2025,12,17,2025-12-17,97200,84.97,84타입,13.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,75,75,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,133,26.02.27,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:75,,False,1,1,9.72,2025-12,6–15층,2025-12 / 6–15층,682
수원센트럴아이파크자이,41115,수원시 팔달구,인계동,1173,2025,12,17,2025-12-17,86500,84.99,84타입,9.0,2024,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,70,70,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,108,26.03.10,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:70,,False,1,0,8.65,2025-12,6–15층,2025-12 / 6–15층,682
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2025,12,19,2025-12-19,95500,84.97,84타입,11.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,65,65,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,111,26.02.19,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:65,,False,1,1,9.55,2025-12,6–15층,2025-12 / 6–15층,684
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2025,12,20,2025-12-20,94000,84.97,84타입,9.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,45,45,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,114,26.03.17,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:45,,False,1,1,9.4,2025-12,6–15층,2025-12 / 6–15층,685
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2025,12,20,2025-12-20,97000,84.97,84타입,11.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,44,44,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,124,26.02.13,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:44,,False,1,1,9.7,2025-12,6–15층,2025-12 / 6–15층,685
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2025,12,26,2025-12-26,94700,84.97,84타입,6.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,20,20,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,109,26.02.06,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:20,,False,1,1,9.47,2025-12,6–15층,2025-12 / 6–15층,691
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2025,12,27,2025-12-27,94500,84.97,84타입,9.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192334.csv,6,6,ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783,117,26.03.09,csv:ab64bd1930ce6f079edfe77efa7498e878fc20702c3d5e3ffbe53f454c758783:6,,False,1,1,9.45,2025-12,6–15층,2025-12 / 6–15층,692
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2026,02,02,2026-02-02,87000,84.97,84타입,2.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192340.csv,1810,1810,7f6b59cf4ffa8479904b60fae1e225371c6b06691d683a3d1992fba223df671d,126,26.03.30,csv:7f6b59cf4ffa8479904b60fae1e225371c6b06691d683a3d1992fba223df671d:1810,,False,1,1,8.7,2026-02,1–5층,2026-02 / 1–5층,729
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2026,02,03,2026-02-03,94500,84.97,84타입,6.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192340.csv,1797,1797,7f6b59cf4ffa8479904b60fae1e225371c6b06691d683a3d1992fba223df671d,135,26.02.27,csv:7f6b59cf4ffa8479904b60fae1e225371c6b06691d683a3d1992fba223df671d:1797,,False,1,1,9.45,2026-02,6–15층,2026-02 / 6–15층,730
수원센트럴아이파크자이,41115,수원시 팔달구,인계동,1173,2026,02,08,2026-02-08,85500,84.99,84타입,8.0,2024,중개거래,,,아파트(매매)_실거래가_20260906192340.csv,1741,1741,7f6b59cf4ffa8479904b60fae1e225371c6b06691d683a3d1992fba223df671d,115,26.04.30,csv:7f6b59cf4ffa8479904b60fae1e225371c6b06691d683a3d1992fba223df671d:1741,,False,1,0,8.55,2026-02,6–15층,2026-02 / 6–15층,735
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2026,02,09,2026-02-09,90000,84.97,84타입,3.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192340.csv,1737,1737,7f6b59cf4ffa8479904b60fae1e225371c6b06691d683a3d1992fba223df671d,111,26.04.06,csv:7f6b59cf4ffa8479904b60fae1e225371c6b06691d683a3d1992fba223df671d:1737,,False,1,1,9.0,2026-02,1–5층,2026-02 / 1–5층,736
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2026,02,10,2026-02-10,99000,84.97,84타입,13.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192340.csv,1717,1717,7f6b59cf4ffa8479904b60fae1e225371c6b06691d683a3d1992fba223df671d,116,26.05.28,csv:7f6b59cf4ffa8479904b60fae1e225371c6b06691d683a3d1992fba223df671d:1717,,False,1,1,9.9,2026-02,6–15층,2026-02 / 6–15층,737
수원센트럴아이파크자이,41115,수원시 팔달구,인계동,1173,2026,02,11,2026-02-11,83000,84.99,84타입,3.0,2024,중개거래,,,아파트(매매)_실거래가_20260906192340.csv,1709,1709,7f6b59cf4ffa8479904b60fae1e225371c6b06691d683a3d1992fba223df671d,108,26.03.30,csv:7f6b59cf4ffa8479904b60fae1e225371c6b06691d683a3d1992fba223df671d:1709,,False,1,0,8.3,2026-02,1–5층,2026-02 / 1–5층,738
매교역푸르지오SKVIEW,41115,수원시 팔달구,매교동,300,2026,02,12,2026-02-12,91400,84.97,84타입,2.0,2023,중개거래,,,아파트(매매)_실거래가_20260906192340.csv,1683,1683,7f6b59cf4ffa8479904b60fae1e225371c6b06691d683a3d1992fba223df671d,140,26.05.14,csv:7f6b59cf4ffa8479904b60fae1e225371c6b06691d683a3d1992fba223df671d:1683,,False,1,1,9.14,2026-02,1–5층,2026-02 / 1–5층,739
